Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8096224k(3274140k free), swap 15733820k(4340300k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.322: [GC (Allocation Failure) 3.322: [DefNew: 960K->64K(960K), 0.0021352 secs] 43224K->42762K(524224K), 0.0022477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.326: [GC (Allocation Failure) 3.326: [DefNew: 960K->64K(960K), 0.0029903 secs] 45064K->44602K(524224K), 0.0031107 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.330: [GC (Allocation Failure) 3.330: [DefNew: 960K->64K(960K), 0.0025943 secs] 45498K->45036K(524224K), 0.0027226 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.335: [GC (Allocation Failure) 3.335: [DefNew: 960K->64K(960K), 0.0019248 secs] 45932K->45470K(524224K), 0.0020456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.338: [GC (Allocation Failure) 3.338: [DefNew: 960K->64K(960K), 0.0016769 secs] 46366K->45905K(524224K), 0.0017575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.342: [GC (Allocation Failure) 3.342: [DefNew: 960K->64K(960K), 0.0018759 secs] 46801K->46339K(524224K), 0.0019615 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.344: [GC (Allocation Failure) 3.345: [DefNew: 960K->64K(960K), 0.0024716 secs] 47235K->46773K(524224K), 0.0026918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.349: [GC (Allocation Failure) 3.349: [DefNew: 960K->64K(960K), 0.0028000 secs] 47669K->47207K(524224K), 0.0029473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.353: [GC (Allocation Failure) 3.353: [DefNew: 960K->64K(960K), 0.0017164 secs] 48103K->47641K(524224K), 0.0018052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.356: [GC (Allocation Failure) 3.356: [DefNew: 960K->64K(960K), 0.0017069 secs] 48537K->48075K(524224K), 0.0018052 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
